Fecha mensual produccion,cantidad distribuida,cantidad producida,nombre producto,marca, cont.Neto,Linea de producto
2018-06, 265477, 296513, KRIS KETCHUP, KRIS, 410gr, salsas kris
2018-07, 145447, 159636, KRIS KETCHUP, KRIS, 410gr, salsas kris
2018-08, 147385, 142642, KRIS KETCHUP, KRIS, 410gr, salsas kris
2018-09, 159487, 157733, KRIS KETCHUP, KRIS, 410gr, salsas kris
2018-10, 166464, 155076, KRIS KETCHUP, KRIS, 410gr, salsas kris
2018-11, 165381, 168229, KRIS KETCHUP, KRIS, 410gr, salsas kris
2018-12, 179526, 182250, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-01, 200153, 190040, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-02, 140225, 147898, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-03, 201042, 217007, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-04, 170353, 162814, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-05, 189752, 199336, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-06, 209149, 236005, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-07, 200741, 201468, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-08, 159423, 154862, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-09, 178250, 165029, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-10, 176074, 170365, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-11, 185075, 176956, KRIS KETCHUP, KRIS, 410gr, salsas kris
2019-12, 193242, 177761, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-01, 219266, 227052, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-02, 216527, 219032, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-03, 211395, 218322, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-04, 210072, 218286, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-05, 199713, 209472, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-06, 303145, 337918, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-07, 218495, 209544, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-08, 209716, 212643, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-09, 204267, 209791, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-10, 197799, 204697, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-11, 194433, 186257, KRIS KETCHUP, KRIS, 410gr, salsas kris
2020-12, 193120, 198291, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-01, 203415, 210685, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-02, 174172, 174082, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-03, 188462, 181658, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-04, 188961, 187810, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-05, 184700, 178616, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-06, 304209, 363460, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-07, 191260, 186296, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-08, 178145, 184504, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-09, 168361, 162115, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-10, 169056, 169859, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-11, 168650, 174099, KRIS KETCHUP, KRIS, 410gr, salsas kris
2021-12, 269422, 269466, KRIS KETCHUP, KRIS, 410gr, salsas kris
2022-01, 224372, 227086, KRIS KETCHUP, KRIS, 410gr, salsas kris
2022-02, 238169, 233000, KRIS KETCHUP, KRIS, 410gr, salsas kris
2022-03, 220291, 241348, KRIS KETCHUP, KRIS, 410gr, salsas kris
2022-04, 237061, 218430, KRIS KETCHUP, KRIS, 410gr, salsas kris
2022-05, 218192, 215702, KRIS KETCHUP, KRIS, 410gr, salsas kris
2022-06, 326403, 372228, KRIS KETCHUP, KRIS, 410gr, salsas kris
