Fecha produccion,cantidad produccion - miles,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,Tipo,year,producto
2015-01-04,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0.0,cantidad producida,2015,SALSAS KETCHUP
2015-01-04,1.79,1373.95,57.42,153.88,0.0,1162.65,1162.65,0.0,0.0,cantidad predecida,2015,SALSAS KETCHUP
2015-01-04,1.0,435021.49,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0.0,cantidad producida,2015,CEREAL AZUCARADITAS
2015-01-04,1.76,3846.69,1500.15,938.35,0.0,1408.19,1071.35,336.84,0.0,cantidad predecida,2015,CEREAL AZUCARADITAS
2015-01-04,1.01,80034.32,44562.12,24964.23,2752.35,7755.62,6064.3,1691.32,0.0,cantidad producida,2015,GELATINA SIN SABOR
2015-01-04,1.64,1505.12,1.27,1129.5,0.0,374.35,186.67,187.68,0.0,cantidad predecida,2015,GELATINA SIN SABOR
2015-01-04,1.02,491738.0,7193.87,396752.18,128.82,87663.13,87406.84,256.29,0.0,cantidad producida,2015,AVENA INSTANTANEA
2015-01-04,1.83,2192.13,8.66,939.43,0.0,1244.04,1244.04,0.0,0.0,cantidad predecida,2015,AVENA INSTANTANEA
2015-01-04,0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.74,477193.38,47882.56,3375.8,cantidad producida,2015,PUDIN DE CHOCOLATE
2015-01-04,1.24,142349.77,107490.73,25711.96,2.93,9144.15,9144.15,0.0,0.0,cantidad predecida,2015,PUDIN DE CHOCOLATE
2015-01-04,1.19,166006.29,29419.03,47220.75,38568.95,50797.56,44329.03,6468.53,0.0,cantidad producida,2015,SALSAS MAYONESA
2015-01-04,2.13,2965.62,151.7,882.52,905.77,1025.63,1025.63,0.0,0.0,cantidad predecida,2015,SALSAS MAYONESA
2015-01-04,1.11,783068.03,30270.26,550752.19,124506.1,77539.48,72888.46,4651.02,0.0,cantidad producida,2015,PURE DE PAPAS
2015-01-04,1.49,17723.17,1189.35,15628.27,0.0,905.55,905.55,0.0,0.0,cantidad predecida,2015,PURE DE PAPAS
2015-01-04,0.89,158638.04,80298.77,51860.47,7609.24,18869.56,16518.15,2132.21,219.2,cantidad producida,2015,DURAZNOS ENLATADOS
2015-01-04,1.44,3930.94,358.05,2432.81,0.0,1140.08,444.17,695.91,0.0,cantidad predecida,2015,DURAZNOS ENLATADOS
2015-01-04,0.99,668086.0,117454.09,429518.41,5553.6,115559.9,67894.33,47661.52,4.05,cantidad producida,2015,POLVO DE HORNEAR
2015-01-04,1.42,22480.07,3199.35,6916.72,7.56,12356.44,1076.67,11279.77,0.0,cantidad predecida,2015,POLVO DE HORNEAR
2015-01-11,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0.0,cantidad producida,2015,SALSAS KETCHUP
2015-01-11,1.77,1182.56,39.0,305.12,0.0,838.44,838.44,0.0,0.0,cantidad predecida,2015,SALSAS KETCHUP
2015-01-11,1.11,397542.72,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0.0,cantidad producida,2015,CEREAL AZUCARADITAS
2015-01-11,1.84,3743.82,1613.69,1207.72,0.0,922.41,865.0,57.41,0.0,cantidad predecida,2015,CEREAL AZUCARADITAS
2015-01-11,1.18,57355.52,38112.34,10997.54,3321.89,4923.75,3295.11,1628.64,0.0,cantidad producida,2015,GELATINA SIN SABOR
2015-01-11,1.44,2378.68,0.0,1923.4,0.0,455.28,170.0,285.28,0.0,cantidad predecida,2015,GELATINA SIN SABOR
2015-01-11,1.1,437771.89,5548.11,320577.36,121.81,111524.61,111192.88,331.73,0.0,cantidad producida,2015,AVENA INSTANTANEA
2015-01-11,1.94,2217.82,12.82,956.07,0.0,1248.93,1248.93,0.0,0.0,cantidad predecida,2015,AVENA INSTANTANEA
2015-01-11,0.92,6024932.34,2889591.29,2485720.1,103573.42,546047.53,510560.41,31874.03,3613.09,cantidad producida,2015,PUDIN DE CHOCOLATE
2015-01-11,1.1,158110.68,123712.51,25975.27,1.47,8421.43,8421.43,0.0,0.0,cantidad predecida,2015,PUDIN DE CHOCOLATE
2015-01-11,1.26,159942.68,31586.35,38118.77,40801.77,49435.79,38822.26,10613.53,0.0,cantidad producida,2015,SALSAS MAYONESA
2015-01-11,2.29,2390.22,155.92,969.82,832.7,431.78,431.78,0.0,0.0,cantidad predecida,2015,SALSAS MAYONESA
2015-01-11,1.15,802874.94,31239.94,558487.79,133848.57,79298.64,74716.43,4539.25,42.96,cantidad producida,2015,PURE DE PAPAS
2015-01-11,1.79,12915.74,1426.75,10900.1,0.0,588.89,588.89,0.0,0.0,cantidad predecida,2015,PURE DE PAPAS
2015-01-11,0.97,125742.48,64726.71,34844.49,7190.05,18981.23,16400.27,2458.67,122.29,cantidad producida,2015,DURAZNOS ENLATADOS
2015-01-11,1.68,4193.17,349.17,3226.58,0.0,617.42,416.25,201.17,0.0,cantidad predecida,2015,DURAZNOS ENLATADOS
2015-01-11,1.09,666579.35,110974.25,427723.2,5357.69,122524.21,85793.27,36703.98,26.96,cantidad producida,2015,POLVO DE HORNEAR
2015-01-11,1.28,30682.77,8855.89,15070.85,24.8,6731.23,1699.95,5031.28,0.0,cantidad predecida,2015,POLVO DE HORNEAR
2015-01-18,1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0.0,cantidad producida,2015,SALSAS KETCHUP
2015-01-18,1.93,1118.47,8.02,178.78,0.0,931.67,931.67,0.0,0.0,cantidad predecida,2015,SALSAS KETCHUP
2015-01-18,1.11,431490.99,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0.0,cantidad producida,2015,CEREAL AZUCARADITAS
2015-01-18,1.86,4294.01,2138.51,989.4,0.0,1166.1,1019.34,146.76,0.0,cantidad predecida,2015,CEREAL AZUCARADITAS
2015-01-18,1.08,62870.49,50354.95,6342.37,2257.23,3915.94,1119.18,2796.76,0.0,cantidad producida,2015,GELATINA SIN SABOR
2015-01-18,1.44,2973.94,8.83,2513.36,0.0,451.75,143.33,308.42,0.0,cantidad predecida,2015,GELATINA SIN SABOR
2015-01-18,1.23,401331.33,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0.0,cantidad producida,2015,AVENA INSTANTANEA
2015-01-18,2.0,2209.34,4.22,834.34,0.0,1370.78,1370.78,0.0,0.0,cantidad predecida,2015,AVENA INSTANTANEA
2015-01-18,1.02,5570915.26,2780859.66,2108450.36,121614.31,559990.93,520299.26,36501.18,3190.49,cantidad producida,2015,PUDIN DE CHOCOLATE
2015-01-18,1.24,195207.6,123138.29,58616.16,0.0,13453.15,13453.15,0.0,0.0,cantidad predecida,2015,PUDIN DE CHOCOLATE
2015-01-18,1.25,152671.15,26462.87,40475.81,38677.39,47055.08,33996.73,13058.35,0.0,cantidad producida,2015,SALSAS MAYONESA
2015-01-18,2.15,2697.81,346.76,744.32,766.41,840.32,840.32,0.0,0.0,cantidad predecida,2015,SALSAS MAYONESA
2015-01-18,1.14,797741.43,24917.77,533717.99,140239.95,98865.72,95516.44,3311.71,37.57,cantidad producida,2015,PURE DE PAPAS
2015-01-18,1.81,12499.87,1154.81,10830.61,0.0,514.45,514.45,0.0,0.0,cantidad predecida,2015,PURE DE PAPAS
2015-01-18,1.02,116450.21,55532.76,26458.99,7040.95,27417.51,24386.64,2962.41,68.46,cantidad producida,2015,DURAZNOS ENLATADOS
2015-01-18,1.84,4027.45,279.22,2959.75,0.0,788.48,213.33,575.15,0.0,cantidad predecida,2015,DURAZNOS ENLATADOS
2015-01-18,0.99,808194.41,151976.7,500683.5,4225.31,151308.9,77528.06,73764.68,16.16,cantidad producida,2015,POLVO DE HORNEAR
2015-01-18,1.1,42234.91,5475.13,32538.95,42.01,4178.82,992.64,3186.18,0.0,cantidad predecida,2015,POLVO DE HORNEAR
2015-01-25,1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0.0,cantidad producida,2015,SALSAS KETCHUP
2015-01-25,1.89,1115.89,14.87,148.72,0.0,952.3,952.3,0.0,0.0,cantidad predecida,2015,SALSAS KETCHUP
2015-01-25,1.1,449332.85,393408.17,18718.27,594.25,36612.16,13176.39,23435.77,0.0,cantidad producida,2015,CEREAL AZUCARADITAS
2015-01-25,1.87,3047.38,1578.59,735.23,0.0,733.56,533.33,200.23,0.0,cantidad predecida,2015,CEREAL AZUCARADITAS
2015-01-25,1.03,66069.21,51922.06,7555.95,2061.16,4530.04,2009.53,2520.51,0.0,cantidad producida,2015,GELATINA SIN SABOR
2015-01-25,1.82,1174.53,1.26,858.4,0.0,314.87,133.33,181.54,0.0,cantidad predecida,2015,GELATINA SIN SABOR
2015-01-25,1.17,409343.56,4730.77,288094.65,45.98,116472.16,115538.05,934.11,0.0,cantidad producida,2015,AVENA INSTANTANEA
2015-01-25,2.01,1948.28,3.14,760.39,0.0,1184.75,1184.75,0.0,0.0,cantidad predecida,2015,AVENA INSTANTANEA
2015-01-25,1.06,4929884.26,2380955.61,1827783.28,150535.5,570609.87,521004.15,46809.48,2796.24,cantidad producida,2015,PUDIN DE CHOCOLATE
2015-01-25,1.3,121698.02,80952.24,28216.13,0.0,12529.65,12529.65,0.0,0.0,cantidad predecida,2015,PUDIN DE CHOCOLATE
2015-01-25,1.18,167270.13,37383.37,44000.75,31576.2,54309.81,41623.4,12686.41,0.0,cantidad producida,2015,SALSAS MAYONESA
2015-01-25,2.29,2694.11,347.67,956.65,920.11,469.68,469.68,0.0,0.0,cantidad predecida,2015,SALSAS MAYONESA
2015-01-25,1.22,745439.17,26117.56,488218.44,145882.24,85220.93,75867.61,9265.81,87.51,cantidad producida,2015,PURE DE PAPAS
2015-01-25,1.83,10951.51,711.63,9515.44,0.0,724.44,724.44,0.0,0.0,cantidad predecida,2015,PURE DE PAPAS
