Fecha produccion mensual,cantidad producida,cantidad distribuida,nombre producto,marca,cont.Neto,Linea de producto
2018-06,254369,298618,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-07,106580,97219,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-08,172145,164072,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-09,171235,186508,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-10,135169,145545,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-11,168799,164902,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-12,155753,168720,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-01,186598,195268,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-02,180220,185004,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-03,195379,180316,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-04,176513,172543,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-05,185244,202963,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-06,270529,321953,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-07,188993,189173,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-08,162165,173502,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-09,191071,175722,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-10,168069,161257,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-11,183791,189292,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-12,186825,178107,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-01,225056,217992,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-02,213710,211342,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-03,221566,225923,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-04,203369,208909,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-05,197002,188243,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-06,284927,332577,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-07,200782,199662,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-08,219504,230062,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-09,205413,214753,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-10,205120,213071,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-11,189384,186554,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-12,192516,185778,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-01,191722,200864,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-02,192033,192830,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-03,207963,201974,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-04,176928,175739,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-05,175877,178714,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-06,361167,413509,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-07,194126,185851,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-08,175998,181470,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-09,173666,174061,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-10,182644,180466,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-11,184417,190057,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-12,236002,223028,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-01,221043,205524,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-02,287438,290944,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-03,237219,217996,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-04,247825,272535,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-05,244565,266007,KRIS MAYONESA,KRIS,410gr,salsas kris
